Time,Voltage,Current,Power
1000,3.852,7.31,28.158119999999997
2000,3.847,7.283,28.017701000000002
3000,3.91,7.62,29.7942
4000,3.875,7.435,28.810624999999998
5000,3.835,7.217,27.677194999999998
6000,3.807,7.065,26.896455
7000,3.918,7.666,30.035388
8000,3.916,7.653,29.969147999999997
9000,3.894,7.534,29.337396000000002
10000,3.922,7.686,30.144492
11000,3.869,7.402,28.638338
12000,3.89,7.514,29.229460000000003
13000,3.825,7.164,27.4023
14000,3.799,7.019,26.665181
15000,3.83,7.191,27.54153
16000,3.875,7.435,28.810624999999998
17000,3.853,7.316,28.188548
18000,3.875,7.435,28.810624999999998
19000,3.851,7.303,28.123853
20000,3.869,7.402,28.638338
21000,3.846,7.277,27.987342
22000,3.822,7.145,27.30819
23000,3.855,7.323,28.230165000000003
24000,3.853,7.316,28.188548
25000,3.888,7.501,29.163888
26000,3.825,7.164,27.4023
27000,3.832,7.197,27.578903999999998
28000,3.802,7.039,26.762278
29000,3.849,7.29,28.05921
30000,3.851,7.303,28.123853
31000,3.85,7.296,28.0896
32000,3.867,7.389,28.573263
33000,3.825,7.164,27.4023
34000,3.868,7.395,28.603859999999997
35000,3.847,7.283,28.017701000000002
36000,3.847,7.283,28.017701000000002
37000,3.895,7.541,29.372195
38000,3.857,7.336,28.294952000000002
39000,3.888,7.501,29.163888
40000,3.875,7.435,28.810624999999998
41000,3.867,7.389,28.573263
42000,3.832,7.197,27.578903999999998
43000,3.818,7.125,27.20325
44000,3.935,7.758,30.527730000000002
45000,3.857,7.336,28.294952000000002
46000,3.929,7.725,30.351525
47000,3.842,7.257,27.881394
48000,3.844,7.263,27.918972
49000,3.884,7.481,29.056203999999997
50000,3.869,7.402,28.638338
51000,3.879,7.455,28.917945
52000,3.845,7.27,27.95315
53000,3.895,7.541,29.372195
54000,3.882,7.468,28.990776
55000,3.866,7.382,28.538812
56000,3.849,7.29,28.05921
57000,3.84,7.244,27.816959999999998
58000,3.817,7.118,27.169406000000002
59000,3.927,7.712,30.285024
60000,3.828,7.178,27.477383999999997
61000,3.834,7.211,27.646974
62000,3.862,7.362,28.432044
63000,3.864,7.376,28.500864
64000,3.907,7.607,29.720549000000002
65000,3.845,7.27,27.95315
66000,3.842,7.257,27.881394
67000,3.86,7.349,28.36714
68000,3.9,7.567,29.5113
69000,3.894,7.534,29.337396000000002
70000,3.846,7.277,27.987342
71000,3.81,7.079,26.97099
72000,3.849,7.29,28.05921
73000,3.849,7.29,28.05921
74000,3.856,7.329,28.260623999999996
75000,3.921,7.679,30.109359
76000,3.907,7.607,29.720549000000002
77000,3.913,7.64,29.895319999999998
78000,3.85,7.296,28.0896
79000,3.828,7.178,27.477383999999997
80000,3.828,7.178,27.477383999999997
81000,3.862,7.362,28.432044
82000,3.927,7.712,30.285024
83000,3.869,7.402,28.638338
84000,3.841,7.25,27.847250000000003
85000,3.835,7.217,27.677194999999998
86000,3.874,7.428,28.776072
87000,3.849,7.29,28.05921
88000,3.874,7.428,28.776072
89000,3.861,7.356,28.401516
90000,3.886,7.494,29.121684
91000,3.853,7.316,28.188548
92000,3.841,7.25,27.847250000000003
93000,3.847,7.283,28.017701000000002
94000,3.847,7.283,28.017701000000002
95000,3.885,7.488,29.09088
96000,3.869,7.402,28.638338
97000,3.889,7.508,29.198611999999997
98000,3.847,7.283,28.017701000000002
99000,3.926,7.706,30.253756000000003
100000,3.882,7.468,28.990776
101000,3.874,7.428,28.776072
102000,3.882,7.468,28.990776
103000,3.863,7.369,28.466447
104000,3.864,7.376,28.500864
105000,3.891,7.521,29.264211
106000,3.869,7.402,28.638338
107000,3.888,7.501,29.163888
108000,3.869,7.402,28.638338
109000,3.847,7.283,28.017701000000002
110000,3.806,7.059,26.866554
111000,3.767,6.848,25.796415999999997
